Mien,Part of Speech,English,French,Thai,,Lao,,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example,Usage,Origin,Audio
zaangv ga'qiex,adjective,to lose one's temper over nothing,s'énerver pour rien,โกรธไม่มีเหตุผล,,ໂກດບໍ່ມີເຫດຜົນ,,nổi giận vô cớ,無理取鬧,wú lǐ qǔ nào,mou4 lei5 ceoi2 naau6,,,,,,,,,,
zaangv ga'qiex,adjective,to have volatile personality,avoir une personnalité changeante,อารมณ์แปรปรวน,,ອາລົມແປປວນ,,tâm tính thất thường,性情乖張,xìng qíng guāi zhāng,sing3 cing4 gwaai1 zoeng1,,,,,,,,,,
zaangv laangz,verb,to preserve the reputation of village (through good management),préserver la réputation,รักษาชื่อเสียงหมู่บ้าน,,ຮັກສາຊື່ສียงໝູ່ບ້ານ,,giữ uy tín dân làng,維護村譽,wéi hù cūn yù,wai4 wu6 cyun1 jyu6,,,,,,,,,,
zaangv longx jaa,verb,to keep the home running smoothly,gérer le foyer,ดูแลบ้าน,,ດູແລບ້ານ,,quản xuyến việc nhà,持家,chí jiā,ci4 gaa1,,,,,,,,,,
zaangv longx jaa-dingh,verb,to manage or run household well,bien gérer le foyer,ดูแลบ้านเรือนได้ดี,,ດູແລບ້ານເຮືອນໄດ້ດີ,,quản xuyến nhà cửa tốt,治家有方,zhì jiā yǒu fāng,zi6 gaa1 jau5 fong1,,,,,,,,,,
zaangv maaz,verb,to keep one's horse under control,maîtriser son cheval,บังคับม้า,,ບັງຄັບມ້າ,,điều khiển ngựa,勒馬,lè mǎ,lak6 maa5,,,,,,,,,,
zaangv mengh dauh,verb,to maintain one's good reputation,maintenir sa réputation,รักษาชื่อเสียง,,ຮັກສາຊື່ສຽງ,,giữ uy tín,保持名聲,bǎo chí míng shēng,bou2 ci4 ming4 sing1,,,,,,,,,,
zaangv ngongh cie,verb,to drive oxcart,conduire une charrette,ขับเกวียน,,ຂັບກວຽນ,,lái xe bò,駕牛車,jià niúchē,gaa3 ngau4 ce1,,,,,,,,,,
zaangv sin,verb,to balance oneself,se tenir en équilibre,ทรงตัว,,ຊົງຕົວ,,giữ thăng bằng,自我平衡,zìwǒ pínghéng,zi6 ngo5 ping4 hang4,,,,,,,,,,
zaangv sin maiv dingc,adjective,unable to keep steady,incapable de rester stable,ทรงตัวไม่อยู่,,ທົງຕົວບໍ່ຢູ່,,không giữ vững,站不稳,zhàn bù wěn,zaam6 bat1 wan2,,,,,,,,,,
zaangz,noun,elephant,éléphant,ช้าง,,ຊ້າງ,,con voi,象,xiàng,zoeng6,,,,,,,,,,
zaangz-batc,noun,elephant trunk,trompe d'éléphant,งวงช้าง,,ງວງຊ້າງ,,vòi voi,象鼻,xiàng bí,zoeng6 bei6,,,,,,,,,,
zaangz-fun,noun,Malayan tapir,maladie,โรค,,ໂຣກ,,bệnh,疾病,jíbìng,zik6 beng6,,,,,,,,,,
zaangz-gouv,noun,male elephant,éléphant mâle,ช้างตัวผู้,,ຊ້າງຜູ້,,voi đực,公象,gōng xiàng,gung1 zoeng6,,,,,,,,,,
zaangz-nouh,noun,elephant handler,cornac,ควาญช้าง,,ຄວານຊ້າງ,,người quản tượng,训象员,xùn xiàng yuán,fan3 zoeng6 jyun4,,,,,,,,,,
zaangz-nouh,noun,mahout,merle pie,นกกางเขนบ้าน,,ນົກກາງເຂນ,,chích chòe,鹊鸲,quèqú,zoek3 keoi4,,,,,,,,,,
zaangz-nyeiz,noun,female elephant,éléphante,ช้างตัวเมีย,,ຊ້າງຕົວເມຍ,,voi cái,母象,mǔ xiàng,mou5 zoeng6,,,,,,,,,,
zaanh,noun,slobber,baver,น้ำลายไหล,,ນ້ຳລາຍໄຫຼ,,chảy nước dãi,流口水,liú kǒushuǐ,lau4 hau2 seoi2,,,,,,,,,,
zaanh,noun,dragon,dragon,มังกร,,ມັງກອນ,,rồng,龙,lóng,lung4,,,,,,,,Literary,,
zaanh,noun,fifth (dragon) Earthly Branch,cinquième branche terrestre (辰),สาขามะโรง,,ສາຂາມັງກອນ,,địa chi Thìn,辰,chén,san4,,,,,,,,Literary,,
zaanh,noun,drool,baver,น้ำลายไหล,,ນ້ຳລາຍໄຫຼ,,chảy dãi,流口水,liú kǒushuǐ,lau4 hau2 seoi2,,,,,,,,,,
zaanh doic,noun,bib,bavoir,ผ้ากันเปื้อน,,ຜ້າກັນເປື້ອນ,,yếm dãi,围嘴,wéizuǐ,wai4 zeoi2,,,,,,,,,,
zaanh hnyangx,noun,year of the Dragon,année du Dragon,ปีมะโรง,,ປີມະໂຮງ,,năm Thìn,龍年,lóng nián,lung4 nin4,,,,,,,,,,
zaanh ziangh,noun,dragon period (7:00-9:00 am),période du Dragon,ยามมังกร,,ຍາມມັງກອນ,,giờ Thìn,辰时,chén shí,san4 si4,Mien zodiac animal–based time divides the day into twelve two-hour periods.,Le temps basé sur le zodiaque animal Mien divise la journée en douze périodes de deux heures.,ระบบเวลาตามสัตว์นักษัตรเมี่ยนแบ่งวันออกเป็นสิบสองช่วง ช่วงละสองชั่วโมง,ລະບົບເວລາຕາມສັດນັກສັດມຽນແບ່ງມື້ເປັນ 12 ຊ່ວງ ຊ່ວງລະ 2 ຊົ່ວໂມງ,Hệ giờ theo 12 con giáp Mien chia ngày thành mười hai khoảng hai giờ.,勉族十二生肖计时法将一天分为十二个两个小时的时段,,,,
zaanv,noun,cup,tasse,ถ้วย,,ຖ້ວຍ,,tách,杯子,bēizi,bui1 zi2,,,,,,,,,,
zaanv,noun,small cup,petite tasse,ถ้วยเล็ก,,ຖ້ວຍນ້ອຍ,,chén nhỏ,小杯子,xiǎo bēizi,siu2 bui1 zi2,,,,,,,,,,
zaanx,verb,to put into to keep or save,mettre pour garder ou conserver,ใส่เพื่อเก็บรักษา,,ໃສ່ເພື່ອເກັບຮັກສາ,,cất vào để giữ,收藏,shōu cáng,sau1 cong4,,,,,,,,,,
zaauh,verb,to snatch,arracher,คว้า,,ຄວ້າ,,giật lấy,抢,qiǎng,coeng2,,,,,,,,,,
zaauh,verb,to catch,attraper,จับ,,ຈັບ,,bắt,抓,zhuā,zaa1,,,,,,,,,,
zaauh,verb,to grab,attraper,คว้า,,ຄວ້າ,,chộp,抓,zhūa,zaa1,,,,,,,,,,
zaauh,verb,to seize,saisir,ยึด,,ຍຶດ,,tịch thu,抓住/没收,zhuā zhù/mò shōu,zaa1 zyu6/mut6 sau1,,,,,,,,,,
zaaux,noun,something used to capture or restrain by covering,piège ou lien,สิ่งที่ใช้จับหรือรัด,,ສິ່ງທີ່ໃຊ້ຈັບຫຼືຮັດ,,vật dùng để bắt hoặc giữ,捕获或束缚之物,bǔhuò huò shùfù zhī wù,bou6 wok6 waak6 cuk1 fuk6 zhī mat6,,,,,,,,,,
zaaux,verb,to spend extravagantly,dépenser excessivement,ใช้จ่ายฟุ่มเฟือย,,ໃຊ້ຈ່າຍຟຸ່ມເຟືອຍ,,chi tiêu hoang phí,挥霍,huīhuò,fai1 fok3,,,,,,,,,,
zaaux,verb,to squander,gaspiller,ล้างผลาญ,,ລ້າງຜານ,,lãng phí,挥霍,huī huò,fai1 fok3,,,,,,,,,,
zaaux,verb,to angrily speak curse on someone,maudire avec colère,ด่าด้วยความโกรธ,,ດ່າຢ່າງໂກດ,,chửi rủa giận dữ,愤怒诅咒,fènnù zǔzhòu,fan6 nou6 zou2 zau3,,,,,,,,,,
zaaux,verb,to waste,gaspiller,สิ้นเปลือง,,ສິ້ນເປືອງ,,lãng phí,浪费,làng fèi,long6 fai3,,,,,,,,,,
zaaux,verb,to cover over with large container,couvrir avec un grand récipient,ครอบไว้,,ຄອບໄວ້,,úp lại,籠蓋,lónggài,lung4 koi3,,,,,,,,,,
zaaux fing,noun,ritual to recharge the power of guardian star,rituel de recharge,พิธีเพิ่มพลังเทพคุ้มครอง,,ພິທີເພີ່ມພະລັງເທບຄຸ້ມຄອງ,,lễ nạp năng lượng cho thần hộ vệ,再充能仪式,zàichōngnéng yíshì,zoi3 cung1 nang4 ji4 sik6,,,,,,,,,,
zaaux henh mbienx,verb,to squander (resources) on nonessentials,gaspiller (ressources),สิ้นเปลืองไปกับสิ่งที่ไม่จำเป็น,,ສິ້ນເປືອງໄປກັບສິ່ງທີ່ບໍ່ຈຳເປັນ,,phung phí vào việc không cần thiết,浪费(资源)在非必需品上,làng fèi zài fēi bì xū pǐn shàng,long6 fai3 zoi6 fei1 bit1 seoi1 ban2 soeng6,,,,,,,,,,
zaaux njang nzengc,verb,to completely waste,gaspiller entièrement,เสียเปล่า,,ເສຍເປົ່າ,,lãng phí hết,完全浪费,wánquán làngfèi,jyun4 cyun4 long6 fai3,,,,,,,,,,
zaaux zinh nyaanh,verb,to squander one's money,gaspiller son argent,ใช้เงินฟุ่มเฟือย,,ໃຊ້ເງິນຟຸ່ມເຟືອຍ,,phung phí tiền bạc,挥霍金钱,huī huò jīn qián,fai1 fok3 gam1 cin4,,,,,,,,,,
zaax,verb,to press down on,appuyer sur,กดทับลงไป,,ກົດທັບລົງໄປ,,ấn xuống,壓下,yā xià,aat3 haa6,,,,,,,,,,
zaax,verb,to crush,écraser,บด,,ບົດ,,nghiền,壓碎,yāsuì,aat3 seoi3,,,,,,,,,,
zaax,verb,to oppress,opprimer,กดขี่,,ກົດຂີ່,,áp bức,壓制,yā zhì,aat3 zai3,,,,,,,,,,
zaax,verb,to ignore,ignorer,เมิน,,ເມີນ,,phớt lờ,忽视,hūshì,fat1 si6,,,,,,,,,,
zaax,verb,to feign,feindre,เสแสร้ง,,ເສແສງ,,giả vờ,假装,jiǎzhuāng,gaa2 zong1,,,,,,,,,,
zaax,verb,to use burning material to set fire to something,utiliser du combustible pour mettre le feu,ใช้เชื้อไฟจุดไฟ,,ໃຊ້ເຊື້ອໄຟຈຸດໄຟ,,dùng vật liệu cháy để đốt,引火点燃,yǐn huǒ diǎn rán,jan5 fo2 dim2 jin4,,,,,,,,,,
zaax,verb,to push down,appuyer vers le bas,กดลง,,ກົດລົງ,,ấn xuống,按下,àn xià,on3 haa6,,,,,,,,,,
zaax,verb,to put pressure on,faire pression sur,กดดัน,,ກົດດັນ,,áp đặt áp lực,施加压力,shī jiā yā lì,si1 gaa1 aat3 lik6,,,,,,,,,,
zaax,verb,to fake,perdre connaissance,หมดสติ,,ໝົດສະຕິ,,lịm đi,暈厥,yūn jué,wan1 kyut3,,,,,,,,,,
zaax,verb,to squeeze out,presser/exprimer,บีบออก,,ບີບອອກ,,vắt ra,挤出,jǐ chū,zai1 ceot1,,,,,,,,,,
zaax,verb,to pretend,prétendre / faire semblant,แกล้งทำ,,ແກຼ້ງເຮັດ,,giả vờ,假装,jiǎzhuāng,gaa2 zong1,,,,,,,,,,
zaax laaic,verb,"to feign (e.g., illness)",feindre (maladie),แกล้งป่วย,,ແກ້ງເຈັບ,,giả bệnh,装病,zhuāngbìng,zong1 beng6,,,,,,,,,,
zaax laaic,verb,to pretend,prétendre / faire semblant,แกล้งทำ,,ແກຼ້ງເຮັດ,,giả vờ,假装,jiǎzhuāng,gaa2 zong1,,,,,,,,,,
zaax mienh,verb,to pressure or force person to do something (as confess),contraindre à avouer,บีบบังคับให้รับสารภาพ,,ບີບໃຫ້ຮັບສາລະພາບ,,ép cung khai,逼供,bīgōng,bik1 gung1,,,,,,,,,,
za'daanz,noun,grenade,grenade,ลูกระเบิด,,ລູກລະເບີດ,,quả lựu đạn,榴弹,liú dàn,lau4 daan2,,,,,,,,,,
za'eix,noun,plan of action,eau pure,น้ำเปล่า,,ນ້ຳເປົ່າ,,nước lọc,清水,qīngshuǐ,cing1 seoi2,,,,,,,,,,
za'eix,noun,way to do something,méthode,วิธีทำ,,ວິທີເຮັດ,,cách làm,方法,fāng fǎ,fong1 faat3,,,,,,,,,,
za'eix,noun,idea,concept,แนวคิด,,ແນວຄິດ,,quan niệm,想法,xiǎng fǎ,soeng2 faat3,,,,,,,,,,
za'eix,noun,thought,pensée,ความคิด (thought),,ຄວາມຄິດ (thought),,suy nghĩ,想法,xiǎngfǎ,soeng2 faat3,,,,,,,,,,
za'eix ndaauv,noun,clever plan,plan astucieux,แผนการที่ชาญฉลาด,,ແຜນການທີ່ສະຫຼາດ,,kế sách hay,妙计,miàojì,miu6 gai3,,,,,,,,,,
za'eix ndaauv,noun,good idea,bon moment,จังหวะดี,,ຈັງຫວະດີ,,đúng lúc,时机好,shí jī hǎo,si4 gei1 hou2,,,,,,,,,,
zaeng,verb,to set trap,poser un piège,วางกับดัก,,ວາງກັບດັກ,,đặt bẫy,设陷阱,shè xiànjǐng,cit3 haam6 zing2,,,,,,,,,,
zaeng,verb,to trap,piéger,วางกับดัก,,ວາງກັບດັກ,,đặt bẫy,设陷阱,shè xiànjǐng,cit3 haam6 zing2,,,,,,,,,,
zaeng,verb,to snare,piéger,ดักด้วยบ่วง,,ດັກດ້ວຍບ່ວງ,,bẫy,设套,shè tào,cit3 tou3,,,,,,,,,,
zaeng,verb,to catch with snare,attraper au piège,จับด้วยกับดัก,,ຈັບດ້ວຍກັບ,,bẫy bắt,陷阱捕获,xiànjǐng bǔhuò,haam6 zing2 bou6 wok6,,,,,,,,,,
zaeng buoz,verb,to hold the hand palm up ready to catch something,tenir la main paume vers le haut,หงายมือรอรับ,,ຫງາຍມືຮອງຮັບ,,ngửa tay đón,手心向上托着,shǒuxīn xiàngshàng tuōzhe,sau2 sam1 hoeng3 soeng6 tok3 zoek6,,,,,,,,,,
zaeng damx,verb,to set collapsible trap,poser un piège pliant,วางกับดักพับได้,,ວາງກັບດັກພັບໄດ້,,đặt bẫy gập,设置折叠陷阱,shèzhì zhédié xiànjǐng,cit3 zi3 zip3 dip6 haam6 zing2,,,,,,,,,,
zaeng hlaang,verb,to set snare trap made of rope and wood,poser un collet (corde et bois),วางบ่วงดัก (เชือกและไม้),,ວາງບ່ວງດັກ (ເຊືອກແລະໄມ້),,đặt bẫy thòng lọng (dây và gỗ),下绳木套索,xià shéng mù tàosuǒ,haa6 sing4 muk6 tou3 so2,,,,,,,,,,
zaeng hlaang-hlopv,verb,to set snare using rope tied in slip knot,poser un collet à nœud coulant,วางบ่วงเงื่อนรูด,,ວາງບ່ວງເງື່ອນຮູດ,,đặt thòng lọng nút trượt,下活扣套索,xià huókòu tàosuǒ,haa6 wut6 kau3 tou3 so2,,,,,,,,,,
zaeng koux,verb,to set trap or snare,poser un piège ou collet,วางกับดักหรือบ่วง,,ວາງກັບດັກຫຼືບ່ວງ,,đặt bẫy hoặc thòng lọng,设陷阱或套索,shè xiànjǐng huò tàosuǒ,cit3 haam6 zing2 waak6 tou3 so2,,,,,,,,,,
zaeng mbiauz,verb,to trap or net fish,piéger ou prendre au filet,ดักหรือวางแหจับปลา,,ດັກຫຼືວາງແຫຈັບປາ,,bẫy hoặc giăng lưới bắt cá,设网捕鱼,shè wǎng bǔyú,cit3 mong5 bou2 jyu4,,,,,,,,,,
zaeng mungz,verb,to set net trap,วางกับดักตาข่าย,poser un filet,,ວາງຕາຂ່າຍ,,đặt bẫy lưới,布网,bù wǎng,bou3 mong5,,,,,,,,,,
zaeng norqc,verb,to trap birds,piéger des oiseaux,ดักนก,,ດັກນົກ,,bẫy chim,捕鸟,bǔniǎo,bou2 niu5,,,,,,,,,,
zaeng nziaamv,verb,to catch blood as it runs out,recueillir le sang,รองเลือด,,ຮອງເລືອດ,,hứng máu,接血,jiē xuè,zip3 hyut3,,,,,,,,,,
zaeng orv nyanc,verb,to trap game for food,piéger du gibier pour manger,ดักสัตว์ไว้กิน,,ດັກສັດໄວ້ກິນ,,bẫy thú làm thức ăn,设陷阱捕猎物,shè xiànjǐng bǔ lièwù,cit3 haam6 zing2 bou2 lip6 mat6,,,,,,,,,,
zaeng waan gong,verb,to set spring trap with bamboo or wood spikes used to kill large game,poser un piège à ressort à pieux,วางกับดักสปริงไม้ไผ่/ไม้แหลม,,ວາງກັບດັກສະປິງ ໄມ້ໄຜ່/ໄມ້ແຫຼມ,,đặt bẫy lò xo có cọc tre/gỗ,下竹木尖刺弹簧陷阱,xià zhú mù jiāncì tánhuáng xiànjǐng,haa6 zuk1 muk6 zim1 ci3 taan4 wong4 haam6 zing2,,,,,,,,,,
zaeng wuom,verb,to collect or capture water (as from rain or runoff),capter l’eau,กักเก็บน้ำ,,ກັກນໍ້າ,,thu nước,收集水源,shōují shuǐyuán,sau1 zap6 seoi2 jyun4,,,,,,,,,,
Zaengc,noun,Zaengc clan name in Mienh,Clan Zaengc,ตระกูล Zaengc,,ຕະກູນ Zaengc,,Gia tộc Zaengc,Zaengc氏,zēngkè shì,zang1 hak1 si6,,,,,,,,,,
zaengh,adjective,brilliant light,lumière éclatante,แสงเจิดจ้า,,ແສງແຈ້ງ,,rực sáng,灿烂光,càn làn guāng,caan3 laan6 gwong1,,,,,,,,,,
zaengh,verb,to flash with bright reflected light,éblouir par reflet,สะท้อนแสงจ้า,,ສະທ້ອນແສງຈ້າ,,chói sáng,反光闪耀,fǎnguāng shǎnyào,faan2 gwong1 sim2 jiu6,,,,,,,,,,
zaengh,adjective,shiny,brillant,เงางาม,,ເງົາງາມ,,bóng loáng,光亮的,guāngliàng de,gwong1 loeng6 dik1,,,,,,,,,,
zaengh,verb,to glare,fusiller du regard,จ้องเขม็ง,,ຈ້ອງແຂງ,,trừng mắt,怒视,nùshì,nou6 si6,,,,,,,,,,
zaengh,adjective,radiant,rayonnant,เปล่งประกาย,,ເປຼ່ງປະກາຍ,,rực rỡ,光彩照人,guāngcǎi zhàorén,gwong1 coi2 ziu3 jan4,,,,,,,,,,
zaengh zaengh wuov,adjective,radiant,rayonnant,สุกใส,,ສຸກໃສ,,tươi sáng,灿烂,cànlàn,caan3 laan6,,,,,,,,,,
zaengx,verb,to put pieces into their slots,insérer les pièces dans leurs fentes,ใส่ชิ้นส่วนลงในช่อง,,ໃສ່ຊິ້ນສ່ວນລົງໃນຊ່ອງ,,cho các mảnh vào khe,插入槽中,chā rù cáo zhōng,caap3 jap6 cou4 zung1,,,,,,,,,,
zaengx,verb,to fit piece into hole,emboîter,ใส่ให้พอดีรู,,ໃສ່ໃຫ້ພອດ,,tra vào lỗ,嵌入,qiànrù,haam3 jap6,,,,,,,,,,
zaengx,verb,to extend,prolonger,ต่อเวลา,,ຕໍ່ເວລາ,,kéo dài,延長,yán cháng,jin4 coeng4,,,,,,,,,,
zaengx,verb,to spread out,s'étendre,แผ่ออก,,ແຜ່ອອກ,,xòe ra/trải ra,展开/铺开,zhǎn kāi/pū kāi,zin2 hoi1/pou1 hoi1,,,,,,,,,,
zaengx,verb,to assemble,assembler,ประกอบ,,ປະກອບ,,lắp ráp,组装,zǔzhuāng,zou2 zong1,,,,,,,,,,
zaeqc,noun,place where one lives,lieu pour s’installer,ที่ตั้งถิ่นฐาน,,ບ່ອນຕັ້ງຖິ່ນ,,cư trú,定居地,dìngjūdì,ding6 geoi1 dei6,,,,,,,,,,
zaeqc,noun,shelter or dwelling,abri,ที่พักพิง,,ທີ່ພັກພິງ,,nơi trú ẩn,住所,zhùsuǒ,zyu6 so2,,,,,,,,Literary,,
zaeqv,verb,to block up (as in channel),obstruer,อุด,,ອຸດ,,bít,ขบ堵,dǔ,dou2,,,,,,,,,,
zaeqv,noun,debt,dette,หนี้,,หนี้,,nợ,债务,zhàiwù,zaai3 mou6,,,,,,,,,,
zaeqv,verb,to obstruct,obstruer / entraver,ขัดขวาง,,ຂັດຂວາງ,,cản trở,阻碍,zǔ’ài,zo2 ngoi6,,,,,,,,,,
zaeqv,verb,to dam up,endiguer,กั้นเขื่อน,,ກັ້ນເຂື່ອນ,,đắp đập,築壩,zhùbà,zuk1 baa3,,,,,,,,,,
zaeqv jauv,verb,to block up path,bloquer le passage,ขวางทาง,,ຂວາງທາງ,,chặn lối đi,堵路,dǔlù,dou2 lou6,,,,,,,,,,
zaeqv jauv,verb,to block off road,bloquer la route,ปิดถนน,,ປິດຖະໜົນ,,chặn đường lộ,封路,fēnglù,fung1 lou6,,,,,,,,,,
zaeqv wuom,verb,to dam up or obstruct the flow of water,obstruer le flux,กั้นทางน้ำ,,ກັ້ນທາງນ້ຳ,,ngăn dòng chảy,堵截,dǔjié,dou2 zit6,,,,,,,,,,
zaeqv-daan,noun,loan record,registre de prêt,บันทึกเงินกู้,,ບັນທຶກກູ້,,văn bản vay,借贷记录,jièdài jìlù,ze3 doi6 gei3 luk6,,,,,,,,,,
zaeqv-daan,noun,bookkeeping ledger,livre de comptabilité,บัญชีแยกประเภท,,ບັນຊີແຍກປະເພດ,,sổ sách kế toán,账簿,zhàngbù,zoeng3 bou2,,,,,,,,,,
zaeqv-daan,noun,financial account book,livre de comptes,สมุดบัญชี,,ສະໝຸດບັນຊີ,,sổ cái,账本,zhàng běn,zoeng3 bun2,,,,,,,,,,
zaeqv-daan,noun,record of what person owes or has loaned out,relevé de compte,บันทึกหนี้สินหรือทรัพย์สิน,,ບັນທຶກໜີ້ສິນຫຼືຊັບສິນ,,sổ nợ hoặc tài sản,账目记录,zhàngmù jìlù,zoeng3 muk6 gei3 luk6,,,,,,,,,,
zaeqv-dueiv,noun,small remaining balance on debt,petit solde,หนี้คงเหลือเล็กน้อย,,ໜີ້ຄົງເຫຼືອເລັກນ້ອຍ,,khoản nợ nhỏ còn lại,微小债务余额,wēixiǎo zhàiwù yú'é,mei4 siu2 zaai3 mou6 jyu4 ngaak6,,,,,,,,,,
zaeqv-ziouv,noun,creditor,créancier,เจ้าหนี้,,ເຈົ້າໜີ້,,chủ nợ,债权人,zhàiquánrén,zaai3 kyun4 jan4,,,,,,,,,,
za'gengh,adverb,absolutely,totalement,ทั้งหมด,,ທັງໝົດ,,hoàn toàn,彻底,chèdǐ,cit3 dai2,,,,,,,,,,
za'gengh,adverb,really,vraiment,จริงๆ,,ຈິງໆ,,thật sự,真的,zhēnde,zan1 dik1,,,,,,,,,,
za'gengh,adverb,truly,vraiment,จริงๆ,,ຈิงໆ,,thật sự,真正地,zhēn zhèng de,zan1 zing3 dei6,,,,,,,,,,
za'gengh,adverb,precisely,précisément,อย่างแม่นยำ,,ຢ່າງແມ່ນຍຳ,,một cách chính xác,精确地,jīngquè de,zing1 kok3 dei6,,,,,,,,,,
za'gengh,adverb,exactly,exactement,อย่างแน่นอน,,ຢ່າງແນ່ນອນ,,hoàn toàn,正是,zhèng shì,zing3 si6,,,,,,,,,,
zai,noun,undeveloped eggs or ova of bird or fowl,œufs non développés,ไข่อ่อน,,ໄຂ່ອ່ອນ,,trứng cá hoặc chim chưa phát triển,魚子或禽卵,yú zǐ huò qín luǎn,jyu4 zi2 waak6 kam4 loon5,,,,,,,,,,
zaih,adjective,tardy,en retard,สาย,,ຊ້າ,,muộn,迟到,chídào,ci4 dou3,,,,,,,,,,
zaih,adjective,overdue,en retard,เกินกำหนด,,ເກີນກຳນົດ,,quá hạn,逾期,yúqī,jyu4 kei4,,,,,,,,,,
zaih,adjective,late,tard,สาย,,ຊ້າ,,trễ,晚,wǎn,maan5,,,,,,,,,,
Zaih,noun,Chai,Jai,ไจ,,ໄຈ,,Trai,蔡,cài,coi3,"The first part of a given name for child born later in life, after years of barrenness, or after some gap in childbearing, or parents thought had arrived late.",Première partie d’un prénom pour un enfant né tardivement après une période de stérilité ou un long intervalle entre les naissances.,ส่วนแรกของชื่อสำหรับเด็กที่เกิดช้า หลังไม่มีลูกมานาน,ສ່ວນທຳອິດຂອງຊື່ສຳລັບເດັກທີ່ເກີດຊ້າຫຼັງຊ່ວງຫ່າງຍາວ,Phần đầu của tên riêng cho trẻ sinh muộn sau thời gian dài không có con.,表示多年未育后晚出生孩子的名字首字,,,,
zaih dangh,adjective,just little bit late,un peu en retard,สายไปนิดหน่อย,,ຊ້າໜ້ອຍໜຶ່ງ,,hơi trễ,晚了一点,wǎn le yìdiǎn,maan5 zo2 jat1 dim2,,,,,,,,,,
zaih maanz,adjective,very late,très tard,ดึกมาก,,ເດິກຫຼາຍ,,rất muộn,極晚,jí wǎn,gik6 maan5,,,,,,,,,,
zaih maanz,adjective,far past the appointed or scheduled time,très en retard,เลยเวลาที่กำหนดไปมาก,,ເລີຍເວລາທີ່ກຳນົດໄປມາກ,,quá giờ hẹn lâu,过了约定的时间,guò le yuē dìng de shí jiān,gwo3 liu5 joek3 ding6 dik1 si4 gaan1,,,,,,,,,,
zaih nziouv,adverb,sooner or later,tôt ou tard,ไม่ช้าก็เร็ว,,ບໍ່ຊ້າກໍ່ໄວ,,sớm muộn gì,迟早,chízǎo,ci4 zou2,,,,,,,,,,
zaiv,noun,fruit,fruit,ผล,,ຜົນ,,quả,果实,guǒ shí,gwo2 sat6,,,,,,,,Literary,,
zaiv,noun,young or offspring of,jeune taureau,วัวหนุ่ม,,ງົວໜຸ່ມ,,bò đực non,小公牛,xiǎo gōngniú,siu2 gung1 ngau4,,,,,,,,Literary,Chinese,
zaix,verb,to smear or rub blood on,enduire de sang,ป้ายเลือด,,ປ້າຍເລືອດ,,bôi máu,抹血,mǒ xuè,mut3 hyut3,,,,,,,,,,
zaix,verb,"to hinder, delay, slow down or prevent the completion of task",retarder ou empêcher une tâche,ทำให้งานช้า/ขัดขวางงาน,,ເຮັດໃຫ້ຊ້າ/ຂັດຂວາງ,,làm chậm hoặc ngăn cản,拖延或阻止,tuōyán huò zǔzhǐ,to1 jin4 waak6 zo2 zi2,,,,,,,,,,
zaix baeng,verb,to restore spirit soldiers,rétablir les soldats spirituels,ฟื้นฟูทหารผี,,ຟື້ນຟູທະຫານຜີ,,khôi phục binh linh,恢复兵灵,huīfù bīnglíng,fui1 fuk6 bing1 ling4,,,,,,,,,,
zaix mienv-baaih,verb,to apply the blood and feathers of sacrifice to the spirit altar,appliquer sang et plumes à l’autel,ทาเลือดและขนเซ่นผี,,ທາເລືອດແລະຂົນເຊັ່ນຜີ,,bôi máu và lông lên bàn thờ,祭坛涂血羽,jìtán tú xuè yǔ,zai3 taan4 tou4 hyut3 jyu5,,,,,,,,,,
zaix orv-mienv,verb,to restore relations with wild animal guardian spirit,rétablir les relations avec l’esprit gardien animal,คืนดีกับผีสัตว์ผู้คุ้มครอง,,ຄືນດີກັບຜີສັດຜູ້ຄຸ້ມຄອງ,,khôi phục quan hệ với thần thú,恢复与守护兽灵关系,huīfù yǔ shǒuhù shòulíng guānxì,fui1 fuk6 jyu5 sau2 wu6 sau3 ling4 gwaan1 hai6,,,,,,,,,,
zam,noun,anvil,enclume,ฐานทั่ง,,ຖານທ່ັງ,,đế đe,铁砧台,tiězhēntái,tit3 zam1 toi4,,,,,,,,,,
zam,classifier,zam,nom de clan Zaengc en Mienh,ชื่อสกุล Zaengc ใน Mienh,,ຊື່ສະກຸນ Zaengc ໃນ Mienh,,họ Zaengc (Mienh),勉语Zaengc姓,miǎn yǔ Zaengc xìng,min5 jyu5 Zaengc sing3,,,,,,,,,,
zam daax zam,adverb,in pile after pile,pile après pile,กองแล้วกองเล่า,,ກອງແລ້ວກອງເລົ່າ,,hết đống này đến đống khác,成堆成堆,chéng duī chéng duī,sing4 deoi1 sing4 deoi1,,,,,,,,,,
zamc,verb,to cease,cesser,ยุติ,,ຍຸຕິ,,dứt,息,xī,sik1,,,,,,,,,,
zamc,verb,to stop,s’arrêter,หยุด,,ຢຸດ,,dừng lại,停止,tíngzhǐ,ting4 zi2,,,,,,,,,,
zamc,verb,to be stanched (of blood),être étanché (sang),เลือดหยุดไหล,,ເລືອດຢຸດໄຫຼ,,cầm máu,止血,zhǐxuè,zi2 hyut3,,,,,,,,,,
